frame_number,center_x,center_y
2,428,219
3,426,222
4,422,225
5,423,226
6,423,225
7,421,225
8,420,227
9,414,227
10,406,229
11,402,226
12,404,226
13,406,227
14,408,229
15,414,230
16,415,233
17,412,237
18,417,238
19,417,235
20,416,231
21,419,231
22,414,231
23,412,232
24,409,232
25,409,231
26,410,232
27,412,234
28,415,236
29,416,237
30,419,238
31,417,236
32,420,237
33,419,235
34,419,235
35,420,238
36,419,241
37,423,241
38,425,242
39,429,242
40,434,239
41,440,239
42,449,241
43,453,245
44,457,245
45,464,244
46,465,244
47,468,244
48,470,244
49,474,246
50,476,247
51,479,245
52,481,240
53,481,239
54,487,239
55,495,241
56,502,244
57,506,241
58,506,241
59,508,239
60,506,237
61,504,237
62,509,238
63,508,240
64,503,239
65,499,239
66,498,239
67,495,240
68,491,240
69,490,240
70,482,238
71,476,234
72,468,230
73,458,229
74,445,228
75,435,227
76,423,226
77,416,224
78,412,222
79,408,224
80,406,224
81,410,224
82,414,227
83,413,225
84,416,224
85,416,223
86,412,221
87,411,222
88,414,222
89,410,219
90,414,217
91,416,216
92,416,217
93,421,219
94,429,222
95,438,220
96,443,218
97,444,214
98,444,216
99,442,214
100,449,215
101,459,215
102,466,215
103,465,214
104,468,211
105,470,207
106,476,213
107,477,209
108,481,209
109,484,214
110,489,211
111,488,208
112,489,208
113,482,207
114,478,207
115,480,210
116,477,211
117,475,210
118,471,205
119,464,205
120,458,204
121,454,206
122,451,207
123,452,214
124,451,215
125,450,212
126,446,213
127,442,208
128,442,208
129,444,212
130,443,211
131,440,208
132,437,205
133,433,207
134,426,207
135,419,211
136,412,212
137,407,214
138,400,212
139,395,215
140,390,219
141,389,227
142,390,228
143,384,235
144,377,237
145,370,232
146,356,232
147,348,239
148,339,242
149,326,247
150,312,248
151,306,245
152,307,242
153,305,237
154,301,231
155,303,228
156,302,225
157,304,222
158,308,221
159,310,220
160,312,221
161,315,221
162,316,217
163,317,215
164,317,212
165,320,210
166,323,210
167,332,207
168,333,203
169,336,199
170,342,201
171,344,202
172,347,202
173,352,201
174,350,202
175,351,204
176,353,205
177,353,205
178,353,205
179,354,204
180,356,203
181,357,201
